UniqueID,FullName,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
CoJ-TN05,"Cooper, Jim",CoopForCongress,2012-06-01,2012,,
ShC-CT04,"Shays, Christopher",CShays,2008-05-01,2008,,
McC-GA04,"McKinney, Cynthia A.",cynthiamckinney,2009-01-01,2009,,
BoD-OK02,"Boren, Dan",DanBorenOK,2020-04-01,2020,,
BuD-IN05,"Burton, Dan",danburton,2008-07-01,2008,,
MaD-NY24,"Maffei, Daniel B.",danielbmaffei,2015-08-01,2015,,
BrD-VA07,"Brat, Dave",DaveBratVA7th,2014-01-01,2014,,
LoD-IA02,"Loebsack, David",daveloebsack,2012-03-01,2012,,
CiD-RI01,"Cicilline, David N.",davidcicilline,2009-03-01,2009,,
WuD-OR01,"Wu, David",DavidWu2010,2010-09-01,2010,,
RoD-NC02,"Ross, Deborah K.",DeborahRossNC,2015-10-01,2015,,
ChD-VI00,"Christensen, Donna M.",DelegateDonna,2011-03-01,2011,,
RaD-IL03,"Ramirez, Delia C.",DeliaRamirezIL,2021-11-01,2021,,
KuD-OH10,"Kucinich, Dennis J.",Dennis_Kucinich,2008-06-01,2008,,
RoD-FL15,"Ross, Dennis A.",DennisRossSEU,2009-04-01,2009,,
HeD-WA10,"Heck, Denny",DennyHeck,2009-08-01,2009,,
DeS-TN04,"DesJarlais, Scott",DesJarlaisTN04,2011-01-01,2011,,
NuD-CA22,"Nunes, Devin",DevinNunes,2009-07-01,2009,,
HaD-WA04,"Hastings, Doc",DocHastings,2011-10-01,2011,,
NoD-NJ01,"Norcross, Donald",DonaldNorcross,2015-03-01,2015,,
CaD-LA06,"Cazayoux, Donald J., Jr.",DonCazayoux,2013-08-01,2013,,
EdD-MD04,"Edwards, Donna F.",DonnaFEdwards,2012-08-01,2012,,
ShD-FL27,"Shalala, Donna E.",DonnaShalala,2016-05-01,2016,,
MaD-CA07,"Matsui, Doris O.",DorisMatsui,2009-05-01,2009,,
WeD-FL15,"Weldon, Dave",DrDaveWeldon,2012-05-01,2012,,
DuN-FL02,"Dunn, Neal P.",DrNealDunnFL2,2017-01-01,2017,,
GiP-GA11,"Gingrey, Phil",DrPhilGingrey,2009-04-01,2009,,
RoD-TN01,"Roe, David P.",DrPhilRoe,2009-06-01,2009,,
RoE-CA39,"Royce, Edward R.",EdRRoyce,2010-08-01,2010,,
ToE-NY10,"Towns, Edolphus",EdTowns,2010-03-01,2010,,
NoE-DC00,"Norton, Eleanor Holmes",EleanorNorton,2009-03-01,2009,,
EsE-CT05,"Esty, Elizabeth H.",ElizabethCrypt7,2021-04-01,2021,,
SyE-OH13,"Sykes, Emilia Strong",EmiliaSykesOH,2013-09-01,2013,,
EnW-IL12,"Enyart, William L.",EnyartforIL12,2012-06-01,2012,,
CaE-VA07,"Cantor, Eric",EricCantor,2009-01-01,2009,,
PaE-MN03,"Paulsen, Erik",ErikPaulsen,2008-11-01,2008,,
JeE-WV03,"Jenkins, Evan H.",EvanJenkinsWV,2013-07-01,2013,,
FaB-TX27,"Farenthold, Blake",farenthold,2008-12-01,2008,,
WoF-VA10,"Wolf, Frank R.",fmrRepWolf,2011-01-01,2011,,
LoF-NJ02,"LoBiondo, Frank A.",FrankLoBiondoNJ,2011-01-01,2011,,
PaF-NJ06,"Pallone, Frank, Jr.",FrankPallone,2009-04-01,2009,,
GiG-AZ08,"Giffords, Gabrielle",GabbyGiffords,2009-06-01,2009,,
VaG-NM02,"Vasquez, Gabe",Gabe_NM,2013-10-01,2013,,
TaG-MS04,"Taylor, Gene",GeneTaylor4MS,2014-03-01,2014,,
GeJ-PA06,"Gerlach, Jim",GerlachforPA,2009-05-01,2009,,
CoG-VA11,"Connolly, Gerald E.",GerryConnolly,2009-09-01,2009,,
GuG-MN01,"Gutknecht, Gil",gilgman,2014-10-01,2014,,
GiK-NY20,"Gillibrand, Kirsten E.",gillibrandny,2017-08-01,2017,,
BrG-FL05,"Brown-Waite, Ginny",GinnyBrownWaite,2010-01-01,2010,,
BuG-NC01,"Butterfield, G. K.",GKButterfield,2011-12-01,2011,,
NyG-VA02,"Nye, Glenn C.",GlennNye,2008-08-01,2008,,
EmT-MN06,"Emmer, Tom",GOPmajoritywhip,2014-12-01,2014,,
GiG-MT00,"Gianforte, Greg",GovGianforte,2020-12-01,2020,,
InJ-WA01,"Inslee, Jay",GovInslee,2013-01-01,2013,,
FaM-OK05,"Fallin, Mary",GovMaryFallin,2010-09-01,2010,,
NaG-CA31,"Napolitano, Grace F.",gracenapolitano,2010-06-01,2010,,
ReG-PA14,"Reschenthaler, Guy",GReschenthaler,2015-01-01,2015,,
SaM-GU00,"San Nicolas, Michael F. Q.",GuamCongressman,2011-08-01,2011,,
GrG-FL02,"Graham, Gwen",GwenGraham,2013-03-01,2013,,
ClH-MI13,"Clarke, Hansen",HansenClarke,2010-05-01,2010,,
FoH-TN09,"Ford, Harold E., Jr.",HaroldFordJr,2009-07-01,2009,,
HaG-MS03,"Harper, Gregg",HarperCampaign,2009-10-01,2009,,
TeH-NM02,"Teague, Harry",Harry4Congress,2010-06-01,2010,,
MiH-AZ05,"Mitchell, Harry E.",HarryEMitchell,2009-04-01,2009,,
HaM-PA04,"Hart, Melissa A.",HartofPgh,2014-07-01,2014,,
WiH-NM01,"Wilson, Heather",HeatherAnWilson,2011-03-01,2011,,
ShH-NC11,"Shuler, Heath",HeathShuler5,2017-07-01,2017,,
HeJ-WA03,"Herrera Beutler, Jaime",HerreraBeutler,2011-01-01,2011,,
SoH-CA32,"Solis, Hilda L.",HildaSolis,2014-03-01,2014,,
HoK-OK05,"Horn, Kendra S.",HornForCongress,2017-06-01,2017,,
BeH-CA28,"Berman, Howard L.",HowardBerman,2011-11-01,2011,,
CoH-NC06,"Coble, Howard",HowardCoble,2011-06-01,2011,,
SkI-MO04,"Skelton, Ike",IkeSkelton,2010-01-01,2010,,
OmI-MN05,"Omar, Ilhan",Ilhan,2019-01-01,2019,,
WaZ-TN03,"Wamp, Zach",IOWamp,2017-04-01,2017,,
IsE-OK05,"Istook, Ernest J., Jr.",Istook,2008-07-01,2008,,
KiJ-GA01,"Kingston, Jack",JackKingston,2009-04-01,2009,,
JaS-TX18,"Jackson Lee, Sheila",JacksonLeeTX18,2009-01-01,2009,,
HiJ-CT04,"Himes, James A.",jahimes,2009-04-01,2009,,
HaJ-CA36,"Harman, Jane",JaneHarmanCA,2022-08-01,2022,,
HaJ-CA44,"Hahn, Janice",JaniceHahn,2009-02-01,2009,,
AlJ-PA04,"Altmire, Jason",jasonaltmire,2011-03-01,2011,,
ChJ-UT03,"Chaffetz, Jason",jasoninthehouse,2008-12-01,2008,,
ObJ-CA23,"Obernolte, Jay",JayObernolte,2011-01-01,2011,,
DeJ-CA10,"Denham, Jeff",JeffDenham,2009-02-01,2009,,
FlJ-AZ06,"Flake, Jeff",JeffFlake,2008-08-01,2008,,
FoJ-NE01,"Fortenberry, Jeff",JeffFortenberry,2009-01-01,2009,,
KiJ-VA02,"Kiggans, Jennifer A",JenKiggans,2019-04-01,2019,,
MoJ-KS01,"Moran, Jerry",JerryMoran,2009-01-01,2009,,
WeJ-IL11,"Weller, Jerry",JerryWeller1,2013-12-01,2013,,
JoJ-OH04,"Jordan, Jim",Jim_Jordan,2008-01-01,2008,,
MoJ-VA08,"Moran, James P.",Jim_Moran,2009-06-01,2009,,
