UniqueID,Name,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
DoJ-IN02,"Donnelly, Joe",SenDonnelly,11/1/2010,2010,,
DuT-IL08,"Duckworth, Tammy",SenDuckworth,1/1/2013,2013,,
PeG-MI14,"Peters, Gary C.",SenGaryPeters,1/1/2011,2011,,
BrJ-NH01,"Bradley, Jeb",SenJeb,3/1/2010,2010,,
CrK-ND00,"Cramer, Kevin",SenKevinCramer,12/1/2012,2012,,
LuC-WY00,"Lummis, Cynthia M.",SenLummis,3/1/2009,2009,,
MaE-MA07,"Markey, Edward J.",SenMarkey,2/1/2009,2009,,
SaB-VT00,"Sanders, Bernard",SenSanders,4/1/2009,2009,,
BuT-NC13,"Budd, Ted",SenTedBuddNC,1/1/2017,2017,,
YoT-IN09,"Young, Todd",SenToddYoung,1/1/2011,2011,,
CoT-AR04,"Cotton, Tom",SenTomCotton,11/1/2012,2012,,
SeS-TX22,"Sekula Gibbs, Shelley",ShelleySekula,8/1/2014,2014,,
ReS-TX16,"Reyes, Silvestre",SilvestreReyes,2/1/2010,2010,,
SoM-IN09,"Sodrel, Michael E.",SodrelMike,2/1/2022,2022,,
McK-CA20,"McCarthy, Kevin",SpeakerMcCarthy,,1900,,
PeN-CA11,"Pelosi, Nancy",SpeakerPelosi,,1900,,
RyP-WI01,"Ryan, Paul D.",SpeakerRyan,1/1/2009,2009,,
PlS-VI00,"Plaskett, Stacey E.",StaceyPlaskett,8/1/2014,2014,,
HeS-SD00,"Herseth Sandlin, Stephanie",StephanieforSD,5/1/2010,2010,,
KaS-WI08,"Kagen, Steve",stevekagen,2/1/2010,2010,,
KiS-IA04,"King, Steve",SteveKingIA,6/1/2009,2009,,
ScS-LA01,"Scalise, Steve",SteveScalise,,1900,,
StS-TX36,"Stockman, Steve",SteveWorks4You,1/1/2013,2013,,
BrS-IN05,"Brooks, Susan W.",SusanWBrooks,1/1/2013,2013,,
KoS-FL24,"Kosmas, Suzanne M.",SuzanneKosmas,1/1/2017,2017,,
MoS-MA06,"Moulton, Seth",teammoulton,,1900,,
ReD-WA08,"Reichert, David G.",TeamReichert,3/1/2010,2010,,
GoT-SC04,"Gowdy, Trey",TGowdySC,1/1/2011,2011,,
HoT-PA17,"Holden, Tim",TimHoldenPA17,4/1/2010,2010,,
MaT-FL16,"Mahoney, Tim",TimMahoney67A,3/1/2013,2013,,
RoT-IN04,"Rokita, Todd",ToddRokita,11/1/2008,2008,,
CoT-OK04,"Cole, Tom",TomColeOK04,,1900,,
DeT-TX22,"DeLay, Tom",tomdelay,5/1/2007,2007,,
LaT-IA03,"Latham, Tom",TomLatham,11/1/2007,2007,,
PeT-VA05,"Perriello, Thomas S.P.",tomperriello,4/1/2008,2008,,
RoT-FL17,"Rooney, Thomas J.",TomRooney,3/1/2009,2009,,
ChT-MS01,"Childers, Travis",travchilders,3/1/2015,2015,,
RaT-FL19,"Radel, Trey",treyradel,11/1/2008,2008,,
TaT-CO06,"Tancredo, Thomas G.",ttancredo,8/1/2009,2009,,
GaT-HI02,"Gabbard, Tulsi",TulsiPress,1/1/2013,2013,,
GoC-TX20,"Gonzalez, Charles A.",TX20CharlieG,1/1/2011,2011,,
